title,url,date,author,summary,source
Hasan Piker’s Detention and the Attack on the 4th Amendment,https://jacobin.com/2025/05/hasan-piker-detention-civil-liberties,2025-05-15 14:44:48,Benjamin Y. Fong,"Decades of precedent, from RICO to asset forfeiture to “good faith” exceptions, have normalized warrantless search and gutted the Fourth Amendment. Hasan Piker’s detainment is the latest proof that constitutional rights are now largely a legal fiction.",Jacobin
The GOP’s School Voucher Program Is Anti-Populism,https://jacobin.com/2025/05/gop-school-vouchers-anti-populism-privatization,2025-05-15 11:04:20,Jennifer C. Berkshire,The GOP is smuggling a $5 billion school voucher program into the budget reconciliation bill. It’s a major giveaway to wealthy school-privatization boosters — and a slap in the face for many of Donald Trump’s own voters.,Jacobin
RFK Jr’s Plan to Dismantle Support for Americans With Autism,https://jacobin.com/2025/05/rfk-jr-health-care-autism,2025-05-15 09:57:18,Molly Toth,Robert F. Kennedy Jr’s comments about autism are part of a long legacy of right-wing politicians deciding which people’s lives are and are not worth living.,Jacobin
My Grandfather Resisted the Nakba. It Still Isn’t Over.,https://jacobin.com/2025/05/nakba-palestine-israel-ethnic-cleansing,2025-05-15 08:50:01,Kieran Andrieu,"Palestinians mark May 15 as Nakba Day, anniversary of the foundation of Israel. That state was born amid mass displacement and ethnic cleansing — and it’s getting even worse today.",Jacobin
When Cities Partner With Predatory Financial Ghouls,https://jacobin.com/2025/05/property-tax-lien-sales-nyc,2025-05-15 13:07:50,Andrew W. Kahrl,"When people fall behind on property taxes, this shouldn’t become an opportunity for private profiteering. But that’s precisely what happens in tax lien sales, where city governments collude with financial predators to extract wealth from struggling people.",Jacobin
Hasan Piker Is Only the Latest US Citizen Targeted by DHS,https://jacobin.com/2025/05/hasan-piker-dhs-ice-trump,2025-05-13 17:42:52,,,Jacobin
Kashmir Must Be Free to Decide Its Own Future,https://jacobin.com/2025/05/kashmir-india-pakistan-cease-fire-democracy,2025-05-13 13:22:54,,,Jacobin
Republicans Are Trying to Block State Regulation of AI,https://jacobin.com/2025/05/republicans-regulations-preemption-ai-laws,2025-05-13 09:03:47,,,Jacobin
Canada’s “Maple MAGA” Secessionists,https://jacobin.com/2025/05/canada-alberta-maga-secessionists-smith,2025-05-13 14:08:12,,,Jacobin
GOP Lawmakers Are Hitting a Roadblock on Tax Cuts,https://jacobin.com/2025/05/house-gop-trump-tax-cuts,2025-05-13 12:12:38,,,Jacobin
The Trouble With Equity,https://jacobin.com/2025/05/racial-equity-corporate-anti-racism,2025-05-13 11:01:52,,,Jacobin
"We Need Democratic Media, Not Corporate or State Propaganda",https://jacobin.com/2025/05/public-media-journalism-npr-pbs,2025-05-12 15:48:09,,,Jacobin
